																																				
Z=  	0.0000																																			
Ne 20	7.534E-08	2.7101E-07	2.8295E-06	7.8336E-06	1.5283E-05	2.0927E-05	2.5179E-05	6.4252E-05	1.1693E-04	2.6311E-04	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	2.1786E-02	1.5286E-02	3.265E-01	4.9379E-01	9.1209E-01	5.3301E-01	8.5071E-01	3.0724E-01	1.9772E+00	2.5904E+00	3.158E+00	3.3836E+00	1.19E+00	3.748E+00	4.697E+00	5.0302E+00
Ne 21	1.572E-09	7.2806E-09	1.2252E-08	1.2972E-08	9.4419E-09	5.2835E-09	1.6611E-09	2.663E-09	3.9002E-09	7.0808E-09	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	4.9406E-07	5.4217E-07	3.7616E-05	9.1178E-05	4.2995E-05	1.3344E-05	5.5124E-05	1.084E-05	6.5422E-04	8.9048E-04	8.2179E-04	8.8049E-04	1.632E-04	2.001E-04	9.38E-04	1.1971E-03
Ne 22	1.4367E-06	6.6559E-06	1.1098E-05	1.1542E-05	7.9883E-06	3.9369E-06	4.3624E-07	1.9619E-06	4.08E-06	1.0093E-05	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	2.9077E-07	1.9846E-07	1.6064E-05	2.5736E-05	6.9231E-05	2.0155E-05	8.5699E-05	6.7483E-06	1.747E-03	2.386E-03	8.2971E-04	8.8897E-04	1.021E-03	2.251E-04	7.623E-04	9.509E-04
Na 23	3.8327E-08	1.7752E-07	4.0737E-07	6.5277E-07	9.1372E-07	1.0777E-06	1.1902E-06	3.9077E-06	7.6341E-06	1.8114E-05	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	1.3683E-05	1.4409E-04	2.447E-03	2.0781E-03	2.9023E-03	1.0266E-03	1.4159E-03	1.8427E-04	4.9877E-03	6.7516E-03	8.7489E-03	9.3738E-03	5.762E-03	6.999E-03	7.159E-03	7.2152E-03
Mg 24	4.6156E-08	2.1382E-07	3.7142E-07	4.1691E-07	3.5029E-07	2.5651E-07	1.7157E-07	2.3951E-07	3.1681E-07	4.9952E-07	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	2.8127E-02	8.6196E-02	6.8211E-02	1.569E-01	1.5026E-01	1.1972E-01	2.2647E-01	4.7787E-01	1.6986E+00	2.1469E+00	2.5751E+00	2.759E+00	1.943E+00	3.075E+00	4.778E+00	5.3759E+00
Mg 25	1.1716E-08	4.9699E-08	2.352E-07	5.5796E-07	1.018E-06	1.3599E-06	1.6152E-06	6.0824E-06	1.2246E-05	2.9664E-05	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	4.5274E-05	1.5594E-04	2.9789E-04	5.8257E-04	1.1642E-04	3.969E-05	2.438E-04	4.2824E-04	3.6693E-03	4.8595E-03	3.9856E-03	4.2703E-03	1.264E-03	1.268E-03	1.821E-02	2.4158E-02
Mg 26	3.0682E-09	6.4341E-09	7.4682E-07	2.2909E-06	4.6386E-06	6.433E-06	7.79E-06	2.7889E-05	5.5565E-05	1.3364E-04	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	3.5436E-05	7.1701E-05	3.9931E-04	8.7675E-04	2.384E-04	5.0899E-05	1.3161E-04	1.2643E-04	1.4203E-03	1.8954E-03	2.1622E-03	2.3166E-03	3.7488E-04	4.0675E-04	5.533E-03	7.3327E-03
Al 27	2.9791E-09	2.5667E-11	1.1623E-07	3.599E-07	7.3101E-07	1.0149E-06	1.2296E-06	3.3101E-06	6.1276E-06	1.3973E-05	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	7.2545E-04	3.7764E-03	1.3693E-03	3.1421E-03	1.3667E-03	8.0797E-04	2.6266E-03	1.4684E-02	2.9723E-02	3.5245E-02	2.6196E-02	2.8067E-02	2.038E-02	1.557E-02	8.621E-02	1.1101E-01
Si 28	6.7919E-09	2.5893E-12	5.3645E-08	1.6613E-07	3.3746E-07	4.6851E-07	5.6764E-07	9.2182E-07	1.3614E-06	2.4966E-06	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	2.0425E-02	8.038E-02	7.3241E-02	1.162E-01	9.938E-02	3.5086E-01	2.479E-01	1.0248E+00	2.6482E+00	3.2443E+00	4.4476E+00	4.7653E+00	1.616E+01	2.122E+01	2.695E+01	2.8962E+01
Si 29	7.8463E-10	1.2917E-13	1.1034E-08	3.4174E-08	6.9418E-08	9.6375E-08	1.1677E-07	2.0011E-07	3.0542E-07	5.8195E-07	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	1.2091E-04	7.4984E-04	2.3857E-04	4.4213E-04	1.8153E-04	2.7125E-04	5.8845E-04	2.602E-03	8.692E-03	1.0928E-02	2.075E-02	2.2232E-02	2.192E-02	1.412E-02	5.876E-02	7.4432E-02
Si 30	1.8762E-10	2.8788E-14	2.9016E-09	8.9863E-09	1.8254E-08	2.5343E-08	3.0705E-08	5.0971E-08	7.6322E-08	1.4228E-07	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	1.7249E-04	1.4221E-03	1.4923E-04	3.4464E-04	1.0965E-04	7.5352E-05	2.5487E-04	4.0635E-03	6.9797E-03	8.0506E-03	3.1007E-03	3.3222E-03	2.043E-04	9.665E-04	4.331E-02	5.8176E-02
